row_id,Evento,Real,Pred_MLP,Prob_MLP,Pred_RF,Prob_RF,Litros_totales,Duration_s,Flow_Lmin,Time
1,0.3 L • 6s • 08:46:12,Cocina,Cocina,0.7558209225067819,Cocina,0.9247740631763424,0.316,6,2.56,1599295572
2,4.3 L • 360s • 06:46:37,Baño,Baño,0.95557200703455,Baño,1.0,4.319999999999999,360,0.72,1553323597
3,4.3 L • 360s • 16:20:36,Baño,Baño,0.9527948666262112,Baño,1.0,4.319999999999999,360,0.72,1603297236
4,2.2 L • 470s • 16:02:14,Baño,Baño,0.6087236497763073,Baño,0.8108928047418729,2.154,470,3.0989189189189186,1598025734
5,11.5 L • 655s • 10:05:25,Cocina,Cocina,0.5767279433657168,Cocina,0.723539963584779,11.544,655,3.316981132075471,1595930725
6,3.5 L • 42s • 23:38:39,Baño,Baño,0.7268928671744458,Baño,0.5378356368372954,3.458,42,4.811707317073171,1555976319
7,4.3 L • 360s • 07:11:38,Baño,Baño,0.9557727607039846,Baño,1.0,4.319999999999999,360,0.72,1600326698
8,0.1 L • 7s • 15:36:49,Baño,Baño,0.7203780580038202,Baño,0.8123308766272472,0.084,7,0.63,1563118609
9,4.1 L • 392s • 07:17:19,Cocina,Baño,0.6653757538155884,Baño,0.6469384646091286,4.131,392,2.325,1600586239
10,6.6 L • 86s • 15:01:34,Cocina,Baño,0.6822902786141241,Cocina,0.531588093792025,6.575,86,4.6777500000000005,1571497294
